Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
10,1110.00,2.000,-8.664,1.3395,3.2451,52.2537,0.2725,2.4171,1.5977,0.0000,7.3944,0.0000,17.3813,0.0000,0.0000,18.5600,0.1232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21.220,-16.989,3.059,0.413,1.586,0.426400,0.259653,0.227496,0.033432,-0.018351,0.062580,0.008791
11,1100.00,2.000,-8.795,4.2630,3.2516,52.0176,0.3113,2.5543,1.6871,0.0000,7.6310,0.0000,17.0393,0.0000,0.0000,18.6280,0.1316,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-67.269,-53.958,9.693,1.311,5.033,0.417590,0.255001,0.235209,0.036008,-0.018754,0.065546,0.009401
12,1090.00,2.000,-8.929,6.9292,3.2582,51.7739,0.3545,2.6959,1.7791,0.0000,7.8625,0.0000,16.6906,0.0000,0.0000,18.7029,0.1405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-108.913,-87.531,15.686,2.127,8.157,0.408950,0.249996,0.242800,0.038761,-0.019073,0.068507,0.010059
13,1080.00,2.000,-9.064,9.3634,3.2649,51.5227,0.4028,2.8421,1.8734,0.0000,8.0879,0.0000,16.3361,0.0000,0.0000,18.7849,0.1501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-146.598,-118.044,21.101,2.868,10.991,0.400505,0.244632,0.250234,0.041708,-0.019296,0.071450,0.010767
14,1070.00,2.000,-9.201,11.5875,3.2717,51.2639,0.4566,2.9930,1.9698,0.0000,8.3058,0.0000,15.9766,0.0000,0.0000,18.8739,0.1604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-180.710,-145.795,25.995,3.542,13.562,0.392281,0.238912,0.257468,0.044866,-0.019413,0.074357,0.011529
15,1060.00,2.000,-9.340,13.6205,3.2784,50.9978,0.5163,3.1485,2.0680,0.0000,8.5150,0.0000,15.6132,0.0000,0.0000,18.9697,0.1715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-211.589,-171.041,30.415,4.155,15.894,0.384302,0.232844,0.264460,0.048254,-0.019415,0.077207,0.012348
16,1050.00,2.000,-9.481,15.4791,3.2853,50.7247,0.5825,3.3086,2.1673,0.0000,8.7141,0.0000,15.2474,0.0000,0.0000,19.0719,0.1834,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-239.536,-194.013,34.405,4.712,18.009,0.376593,0.226442,0.271162,0.051890,-0.019293,0.079977,0.013228
17,1040.00,2.000,-9.625,17.1783,3.2921,50.4454,0.6555,3.4732,2.2671,0.0000,8.9017,0.0000,14.8809,0.0000,0.0000,19.1801,0.1960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-264.820,-214.916,38.003,5.218,19.927,0.369181,0.219730,0.277527,0.055792,-0.019040,0.082640,0.014170
18,1030.00,2.000,-9.771,18.8220,3.2958,50.3040,0.6939,3.5866,2.2900,0.0000,8.9460,0.0000,14.6466,0.0000,0.0000,19.3256,0.2073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-289.515,-235.501,41.449,5.711,21.788,0.370462,0.212397,0.279158,0.058683,-0.019743,0.084043,0.015000
19,1020.00,2.000,-9.919,20.2956,3.2984,50.2058,0.7227,3.6845,2.2885,0.0000,8.9461,0.0000,14.4581,0.0000,0.0000,19.4758,0.2186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-311.647,-254.114,44.491,6.153,23.452,0.374141,0.205130,0.279320,0.061294,-0.020714,0.085008,0.015822
