Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
1,1200.00,2.000,-7.563,1.0452795282599e+02,2.4395,57.4009,0.9567,11.4802,1.7947,0.0000,6.9952,0.9567,5.7401,0.0000,0.0000,8.1318,2.2004,1.8177,0.1339,2.3917,0.0000,0.0000,0.0000,0.0000,-1.7092513523584e+03,-1.2698955914895e+03,2.9824237916636e+02,4.2848911145877e+01,1.5030793748546e+02,4.6987302e-01,3.0806233e-02,4.0514566e-03,5.6676694e-03,0.0000000e+00,6.8928513e-02,1.7710208e-02,4.8184944e-02,0.0000000e+00,0.0000000e+00,8.4659929e-02,4.7112452e-05,1.1832281e-02,4.1937248e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,6.7528236e-02,2.2931,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.7092513523584e+03,-1.2698955914895e+03, 2.9824237916636e+02, 4.2848911145877e+01, 1.5030793748546e+02, 5.1232262776739e-03,-5.6552263444365e-04, 1.1956491170177e-04, 1.3198063132068e-05, 5.1232262776739e-03,-5.6552263444365e-04, 1.1956491170177e-04, 1.3198063132068e-05
2,1190.00,2.000,-7.679,1.0452855109701e+02,2.4424,57.4006,0.9567,11.4801,1.8004,0.0000,6.9900,0.9567,5.7401,0.0000,0.0000,8.1317,2.2004,1.8177,0.1339,2.3917,0.0000,0.0000,0.0000,0.0000,-1.7062842579753e+03,-1.2714073195215e+03,2.9721965516441e+02,4.2798220662183e+01,1.5028701915235e+02,4.7002354e-01,3.1065441e-02,3.9739953e-03,5.6737734e-03,0.0000000e+00,6.9160309e-02,1.7781680e-02,4.8154606e-02,0.0000000e+00,0.0000000e+00,8.4544341e-02,4.5113233e-05,1.1762184e-02,4.3121617e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,6.8330613e-02,2.3376,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.7062842579753e+03,-1.2714073195215e+03, 2.9721965516441e+02, 4.2798220662183e+01, 1.5028701915235e+02, 5.1161851647319e-03,-5.6310765545448e-04, 1.1954200631646e-04, 1.3157267913057e-05, 5.1161851647319e-03,-5.6310765545448e-04, 1.1954200631646e-04, 1.3157267913057e-05
3,1180.00,2.000,-7.796,1.0452918337483e+02,2.4453,57.4002,0.9567,11.4800,1.8064,0.0000,6.9846,0.9567,5.7400,0.0000,0.0000,8.1317,2.2003,1.8177,0.1339,2.3917,0.0000,0.0000,0.0000,0.0000,-1.7033279931261e+03,-1.2729193615925e+03,2.9619009154843e+02,4.2747628358253e+01,1.5026547060546e+02,4.7017657e-01,3.1330116e-02,3.8969864e-03,5.6808377e-03,0.0000000e+00,6.9392318e-02,1.7854495e-02,4.8123696e-02,0.0000000e+00,0.0000000e+00,8.4427681e-02,4.3172617e-05,1.1691570e-02,4.4355966e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,6.9153822e-02,2.3827,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.7033279931261e+03,-1.2729193615925e+03, 2.9619009154843e+02, 4.2747628358253e+01, 1.5026547060546e+02, 5.1089880760994e-03,-5.6069825044533e-04, 1.1951512334866e-04, 1.3116476211179e-05, 5.1089880760994e-03,-5.6069825044533e-04, 1.1951512334866e-04, 1.3116476211179e-05
4,1170.00,2.000,-7.915,1.0452985075812e+02,2.4482,57.3999,0.9567,11.4800,1.8128,0.0000,6.9788,0.9567,5.7400,0.0000,0.0000,8.1316,2.2003,1.8177,0.1339,2.3917,0.0000,0.0000,0.0000,0.0000,-1.7003826441134e+03,-1.2744317305983e+03,2.9515359700312e+02,4.2697136521384e+01,1.5024328278786e+02,4.7033216e-01,3.1600419e-02,3.8204407e-03,5.6888939e-03,0.0000000e+00,6.9624436e-02,1.7928691e-02,4.8092199e-02,0.0000000e+00,0.0000000e+00,8.4309943e-02,4.1289855e-05,1.1620434e-02,4.5642997e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,6.9998628e-02,2.4284,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.7003826441134e+03,-1.2744317305983e+03, 2.9515359700312e+02, 4.2697136521384e+01, 1.5024328278786e+02, 5.1016353269180e-03,-5.5829448481262e-04, 1.1948424982464e-04, 1.3075689151496e-05, 5.1016353269180e-03,-5.5829448481262e-04, 1.1948424982464e-04, 1.3075689151496e-05
5,1160.00,2.000,-8.035,1.0453055439432e+02,2.4511,57.3995,0.9567,11.4799,1.8195,0.0000,6.9727,0.9567,5.7399,0.0000,0.0000,8.1316,2.2003,1.8177,0.1339,2.3916,0.0000,0.0000,0.0000,0.0000,-1.6974482989436e+03,-1.2759444402079e+03,2.9411007831400e+02,4.2646747467125e+01,1.5022044654603e+02,4.7049036e-01,3.1876517e-02,3.7443692e-03,5.6979751e-03,0.0000000e+00,6.9856550e-02,1.8004307e-02,4.8060097e-02,0.0000000e+00,0.0000000e+00,8.4191118e-02,3.9464182e-05,1.1548774e-02,4.6985588e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,7.0865830e-02,2.4748,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6974482989436e+03,-1.2759444402079e+03, 2.9411007831400e+02, 4.2646747467125e+01, 1.5022044654603e+02, 5.0941272463306e-03,-5.5589642682095e-04, 1.1944937302094e-04, 1.3034907931712e-05, 5.0941272463306e-03,-5.5589642682095e-04, 1.1944937302094e-04, 1.3034907931712e-05
6,1150.00,2.000,-8.157,1.0335547417448e+02,2.4505,57.4231,0.9670,11.5972,1.8238,0.0000,6.9287,0.9675,5.4719,0.0000,0.0000,8.2030,2.2252,1.8383,0.1355,2.4188,0.0000,0.0000,0.0000,0.0000,-1.6757066223331e+03,-1.2630484099012e+03,2.8996115127136e+02,4.2177866263639e+01,1.4831983697248e+02,4.6956267e-01,3.2551336e-02,3.6955197e-03,5.8182260e-03,0.0000000e+00,7.0202461e-02,1.8279696e-02,4.5708453e-02,0.0000000e+00,0.0000000e+00,8.5230845e-02,3.7897993e-05,1.1513876e-02,4.9532161e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,7.2454975e-02,2.5370,1.1742094454551e+00,3.2400,-1.8792046912204e+01,-1.4803995110514e+01,2.8022708791694e+00,3.6241288479301e-01,1.4761577704384e+00,-1.6944986692453e+03,-1.2778524050117e+03, 2.9276342215053e+02, 4.2540279148432e+01, 1.4979599474292e+02, 5.0717132882306e-03,-5.5195641063591e-04, 1.1922143882823e-04, 1.2974912757625e-05, 5.0563022646197e-03,-5.5166954084349e-04, 1.1988046604858e-04, 1.3079598133182e-05
7,1140.00,2.000,-8.281,1.0203196797682e+02,2.4493,57.4538,0.9789,11.7322,1.8260,0.0000,6.8707,0.9801,5.1730,0.0000,0.0000,8.2818,2.2539,1.8622,0.1372,2.4502,0.0000,0.0000,0.0000,0.0000,-1.6517891181404e+03,-1.2484132420210e+03,2.8544448651555e+02,4.1658174502925e+01,1.4619255298395e+02,4.6847690e-01,3.3311190e-02,3.6501107e-03,5.9542275e-03,0.0000000e+00,7.0487203e-02,1.8588470e-02,4.3116246e-02,0.0000000e+00,0.0000000e+00,8.6405794e-02,3.6397160e-05,1.1480612e-02,5.2391727e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,7.4183430e-02,2.6024,2.4964512431100e+00,3.2464,-3.9767047969603e+01,-3.1385826528537e+01,5.9308788458873e+00,7.6898821903072e-01,3.1287626588400e+00,-1.6915561661100e+03,-1.2797990685495e+03, 2.9137536536144e+02, 4.2427162721956e+01, 1.4932131564279e+02, 5.0472528799075e-03,-5.4782785009058e-04, 1.1896277186821e-04, 1.2912196219218e-05, 5.0145642826895e-03,-5.4721719968493e-04, 1.2037407645737e-04, 1.3135890043538e-05
8,1130.00,2.000,-8.407,1.0073240419338e+02,2.4480,57.4886,0.9910,11.8680,1.8260,0.0000,6.8035,0.9927,4.8836,0.0000,0.0000,8.3569,2.2828,1.8862,0.1390,2.4818,0.0000,0.0000,0.0000,0.0000,-1.6284654364228e+03,-1.2341581456256e+03,2.8101577935165e+02,4.1149136032160e+01,1.4411463321934e+02,4.6739608e-01,3.4103228e-02,3.6042759e-03,6.0890727e-03,0.0000000e+00,7.0684493e-02,1.8901989e-02,4.0632127e-02,0.0000000e+00,0.0000000e+00,8.7535932e-02,3.4930013e-05,1.1443171e-02,5.5409686e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,7.5952519e-02,2.6687,3.7945682293097e+00,3.2529,-6.0158992872877e+01,-4.7567916766290e+01,8.9734355604084e+00,1.1665082973456e+00,4.7406609304779e+00,-1.6886244292957e+03,-1.2817260623919e+03, 2.8998921491206e+02, 4.2315644329505e+01, 1.4885529414982e+02, 5.0229142746108e-03,-5.4373842309657e-04, 1.1870111761736e-04, 1.2849583923680e-05, 4.9733406113290e-03,-5.4280906833325e-04, 1.2086136164420e-04, 1.3191262822846e-05
9,1120.00,2.000,-8.535,9.9452476434488e+01,2.4466,57.5277,1.0031,12.0049,1.8239,0.0000,6.7269,1.0055,4.6035,0.0000,0.0000,8.4276,2.3119,1.9105,0.1408,2.5138,0.0000,0.0000,0.0000,0.0000,-1.6056644583494e+03,-1.2202311219079e+03,2.7666319954173e+02,4.0649180158275e+01,1.4207929923518e+02,4.6632229e-01,3.4932376e-02,3.5582062e-03,6.2222373e-03,0.0000000e+00,7.0790679e-02,1.9221016e-02,3.8252662e-02,0.0000000e+00,0.0000000e+00,8.8614662e-02,3.3496175e-05,1.1401469e-02,5.8597600e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,7.7767217e-02,2.7360,5.0728516053064e+00,3.2595,-8.0038737117048e+01,-6.3404002437937e+01,1.1940375895712e+01,1.5563258562122e+00,6.3171486375372e+00,-1.6857031954665e+03,-1.2836351243458e+03, 2.8860357543745e+02, 4.2205506014487e+01, 1.4839644787272e+02, 4.9986509387749e-03,-5.3968338641831e-04, 1.1843599119648e-04, 1.2787037459830e-05, 4.9325232850599e-03,-5.3843932298691e-04, 1.2134373352314e-04, 1.3246006952425e-05
10,1110.00,2.000,-8.664,9.7443242890960e+01,2.4428,57.6287,1.0197,12.2092,1.8162,0.0000,6.6646,1.0262,4.2935,0.0000,0.0000,8.3250,2.3578,1.9499,0.1437,2.5656,0.0000,0.0000,0.0000,0.0000,-1.5714714664794e+03,-1.1973701131366e+03,2.7047055875559e+02,3.9889482329799e+01,1.3894384019462e+02,4.6640794e-01,3.6429013e-02,3.5377544e-03,6.3297368e-03,0.0000000e+00,7.1520345e-02,1.9678147e-02,3.5874396e-02,0.0000000e+00,0.0000000e+00,8.7658297e-02,3.1609738e-05,1.1291202e-02,6.2692161e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.0319874e-02,2.8083,7.0803523545937e+00,3.2630,-1.1132338971446e+02,-8.8490346031383e+01,1.6508002518219e+01,2.1699215724169e+00,8.7114142648280e+00,-1.6827948561938e+03,-1.2858604591680e+03, 2.8697856127381e+02, 4.2059403902216e+01, 1.4765525445945e+02, 4.9658056118968e-03,-5.3497416685338e-04, 1.1806647624968e-04, 1.2719489988425e-05, 4.8735566450713e-03,-5.3322008216847e-04, 1.2217648263213e-04, 1.3367435499912e-05
11,1100.00,2.000,-8.795,9.4604860419224e+01,2.4360,57.8155,1.0399,12.4923,1.8008,0.0000,6.6170,1.0570,3.9509,0.0000,0.0000,8.0034,2.4243,2.0084,0.1480,2.6426,0.0000,0.0000,0.0000,0.0000,-1.5244153508659e+03,-1.1643678544642e+03,2.6220551025139e+02,3.8835830980651e+01,1.3456224501189e+02,4.6803522e-01,3.8792512e-02,3.5459299e-03,6.4005735e-03,0.0000000e+00,7.3034552e-02,2.0315939e-02,3.3491580e-02,0.0000000e+00,0.0000000e+00,8.4138044e-02,2.9227636e-05,1.1093483e-02,6.7997734e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.3817353e-02,2.8868,9.9172699947391e+00,3.2657,-1.5549411951244e+02,-1.2408193496864e+02,2.2876003745989e+01,3.0368391899791e+00,1.2028013716440e+01,-1.6799094703783e+03,-1.2884497894328e+03, 2.8508151399738e+02, 4.1872670170630e+01, 1.4659025872833e+02, 4.9228003107865e-03,-5.2954252873376e-04, 1.1756595150790e-04, 1.2646495353076e-05, 4.7937820115886e-03,-5.2705623264165e-04, 1.2343709122581e-04, 1.3571390629037e-05
12,1090.00,2.000,-8.929,9.1966578809020e+01,2.4292,58.0140,1.0572,12.7628,1.7815,0.0000,6.5488,1.0874,3.6313,0.0000,0.0000,7.6911,2.4893,2.0660,0.1522,2.7184,0.0000,0.0000,0.0000,0.0000,-1.4808867453523e+03,-1.1339586240317e+03,2.5450472898841e+02,3.7858015916980e+01,1.3050539100143e+02,4.6967242e-01,4.1174329e-02,3.5466011e-03,6.4646575e-03,0.0000000e+00,7.4334681e-02,2.0959905e-02,3.1244959e-02,0.0000000e+00,0.0000000e+00,8.0735555e-02,2.7030091e-05,1.0895419e-02,7.3582276e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.7340857e-02,2.9663,1.2554297597615e+01,3.2705,-1.9615964636215e+02,-1.5698662069450e+02,2.8737135067784e+01,3.8386879334409e+00,1.5093324061425e+01,-1.6770463917144e+03,-1.2909452447262e+03, 2.8324186405619e+02, 4.1696703850421e+01, 1.4559871506286e+02, 4.8813913437932e-03,-5.2433778936783e-04, 1.1706899809885e-04, 1.2575041692715e-05, 4.7186151823453e-03,-5.2117111237004e-04, 1.2463979075641e-04, 1.3766466618666e-05
