Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
6,1150.00,2.000,-8.157,1.1742,3.2400,55.3669,0.0469,1.1662,0.6995,0.0000,11.5173,0.0000,29.3382,0.0000,0.0000,1.8522,0.0128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.792,-14.804,2.802,0.362,1.476,-0.306017,0.928674,0.341916,0.015864,-0.013362,0.032046,0.000879
7,1140.00,2.000,-8.281,2.4965,3.2464,55.2292,0.0468,1.1780,0.7031,0.0000,11.9150,0.0000,28.9162,0.0000,0.0000,1.9984,0.0133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.767,-31.386,5.931,0.769,3.129,-0.313262,0.922896,0.354540,0.016079,-0.013574,0.032399,0.000921
8,1130.00,2.000,-8.407,3.7946,3.2529,55.0886,0.0467,1.1891,0.7058,0.0000,12.3184,0.0000,28.4783,0.0000,0.0000,2.1593,0.0140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-60.159,-47.568,8.973,1.167,4.741,-0.320137,0.916523,0.367416,0.016290,-0.013787,0.032730,0.000966
9,1120.00,2.000,-8.535,5.0729,3.2595,54.9454,0.0464,1.1996,0.7076,0.0000,12.7250,0.0000,28.0249,0.0000,0.0000,2.3365,0.0146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.039,-63.404,11.940,1.556,6.317,-0.326508,0.909485,0.380477,0.016496,-0.014002,0.033040,0.001013
10,1110.00,2.000,-8.664,5.7408,3.2671,54.7789,0.0478,1.2299,0.7204,0.0000,13.2011,0.0000,27.5817,0.0000,0.0000,2.4250,0.0152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-90.103,-71.502,13.449,1.757,7.126,-0.339050,0.905813,0.395725,0.017023,-0.014445,0.033877,0.001056
11,1100.00,2.000,-8.795,5.6543,3.2763,54.5814,0.0517,1.2877,0.7486,0.0000,13.7769,0.0000,27.1625,0.0000,0.0000,2.3756,0.0157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-88.226,-70.124,13.183,1.726,6.995,-0.360868,0.907427,0.414101,0.018002,-0.015206,0.035453,0.001091
12,1090.00,2.000,-8.929,5.6251,3.2856,54.3810,0.0556,1.3462,0.7763,0.0000,14.3636,0.0000,26.7361,0.0000,0.0000,2.3250,0.0161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-87.247,-69.456,13.051,1.712,6.936,-0.383210,0.909094,0.432928,0.019007,-0.015992,0.037047,0.001126
13,1080.00,2.000,-9.064,5.6526,3.2952,54.1782,0.0595,1.4053,0.8035,0.0000,14.9605,0.0000,26.3033,0.0000,0.0000,2.2731,0.0166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-87.141,-69.482,13.050,1.715,6.946,-0.406053,0.910818,0.452181,0.020039,-0.016806,0.038660,0.001161
14,1070.00,2.000,-9.201,5.7357,3.3048,53.9735,0.0632,1.4650,0.8300,0.0000,15.5661,0.0000,25.8653,0.0000,0.0000,2.2198,0.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-87.878,-70.180,13.176,1.736,7.025,-0.429358,0.912601,0.471826,0.021097,-0.017650,0.040288,0.001196
15,1060.00,2.000,-9.340,5.8732,3.3147,53.7675,0.0668,1.5252,0.8556,0.0000,16.1789,0.0000,25.4233,0.0000,0.0000,2.1652,0.0175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-89.424,-71.527,13.424,1.772,7.168,-0.453073,0.914444,0.491815,0.022180,-0.018527,0.041930,0.001230
16,1050.00,2.000,-9.481,6.0632,3.3246,53.5610,0.0702,1.5858,0.8801,0.0000,16.7969,0.0000,24.9788,0.0000,0.0000,2.1093,0.0179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-91.737,-73.493,13.788,1.824,7.375,-0.477128,0.916348,0.512085,0.023289,-0.019439,0.043581,0.001264
17,1040.00,2.000,-9.625,6.3034,3.3346,53.3549,0.0733,1.6467,0.9032,0.0000,17.4177,0.0000,24.5337,0.0000,0.0000,2.0523,0.0183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-94.766,-76.040,14.260,1.890,7.640,-0.501437,0.918309,0.532561,0.024420,-0.020388,0.045237,0.001298
18,1030.00,2.000,-9.771,6.3330,3.3412,53.2387,0.0732,1.6890,0.8999,0.0000,17.8052,0.0000,24.2735,0.0000,0.0000,2.0019,0.0187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-94.793,-76.212,14.259,1.895,7.658,-0.516988,0.920120,0.545336,0.025402,-0.021371,0.046173,0.001329
19,1020.00,2.000,-9.919,6.3244,3.3467,53.1506,0.0722,1.7255,0.8885,0.0000,18.1192,0.0000,24.0715,0.0000,0.0000,1.9535,0.0191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-94.308,-75.980,14.173,1.890,7.631,-0.529789,0.921886,0.555686,0.026339,-0.022359,0.046878,0.001359
20,1010.00,2.000,-10.069,6.3474,3.3523,53.0637,0.0712,1.7617,0.8765,0.0000,18.4304,0.0000,23.8719,0.0000,0.0000,1.9050,0.0195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-94.296,-76.130,14.157,1.893,7.643,-0.542522,0.923661,0.565971,0.027282,-0.023351,0.047570,0.001391
21,1000.00,2.000,-10.221,6.3974,3.3578,52.9775,0.0702,1.7978,0.8640,0.0000,18.7407,0.0000,23.6732,0.0000,0.0000,1.8565,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-94.683,-76.603,14.201,1.905,7.688,-0.555247,0.925442,0.576248,0.028229,-0.024348,0.048254,0.001422
22,990.00,2.000,-10.376,6.4711,3.3633,52.8914,0.0692,1.8339,0.8512,0.0000,19.0515,0.0000,23.4745,0.0000,0.0000,1.8080,0.0204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-95.414,-77.357,14.295,1.924,7.760,-0.568015,0.927229,0.586566,0.029183,-0.025352,0.048934,0.001454
23,980.00,2.000,-10.534,6.5661,3.3689,52.8051,0.0682,1.8700,0.8381,0.0000,19.3640,0.0000,23.2745,0.0000,0.0000,1.7594,0.0208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-96.449,-78.360,14.434,1.949,7.858,-0.580873,0.929022,0.596970,0.030144,-0.026365,0.049615,0.001487
24,970.00,2.000,-10.694,6.6805,3.3745,52.7180,0.0671,1.9063,0.8249,0.0000,19.6794,0.0000,23.0724,0.0000,0.0000,1.7108,0.0212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-97.757,-79.590,14.614,1.980,7.978,-0.593866,0.930821,0.607501,0.031112,-0.027389,0.050301,0.001520
25,960.00,2.000,-10.857,6.8133,3.3802,52.6298,0.0659,1.9429,0.8115,0.0000,19.9989,0.0000,22.8673,0.0000,0.0000,1.6620,0.0217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-99.318,-81.030,14.830,2.016,8.119,-0.607036,0.932627,0.618196,0.032090,-0.028425,0.050996,0.001553
26,950.00,2.000,-11.022,6.9638,3.3859,52.5401,0.0647,1.9799,0.7981,0.0000,20.3235,0.0000,22.6584,0.0000,0.0000,1.6132,0.0221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-101.116,-82.670,15.081,2.057,8.281,-0.620426,0.934440,0.629093,0.033079,-0.029476,0.051705,0.001586
27,940.00,2.000,-11.190,7.1314,3.3918,52.4485,0.0634,2.0175,0.7847,0.0000,20.6542,0.0000,22.4449,0.0000,0.0000,1.5642,0.0225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-103.141,-84.501,15.365,2.103,8.462,-0.634076,0.936261,0.640229,0.034082,-0.030546,0.052432,0.001619
28,930.00,2.000,-11.361,7.3161,3.3978,52.3547,0.0621,2.0558,0.7714,0.0000,20.9920,0.0000,22.2260,0.0000,0.0000,1.5151,0.0230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-105.388,-86.522,15.681,2.153,8.662,-0.648030,0.938093,0.651639,0.035100,-0.031636,0.053182,0.001652
29,920.00,2.000,-11.534,7.7429,3.4032,52.3046,0.0599,2.0372,0.7473,0.0000,21.3124,0.0000,22.0395,0.0000,0.0000,1.4762,0.0230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-111.108,-91.410,16.509,2.275,9.149,-0.659598,0.939559,0.662467,0.035016,-0.031669,0.052570,0.001656
30,910.00,2.000,-11.711,8.2585,3.4081,52.2754,0.0574,1.9917,0.7185,0.0000,21.6226,0.0000,21.8701,0.0000,0.0000,1.4414,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-118.060,-97.337,17.515,2.423,9.738,-0.670016,0.940883,0.672965,0.034403,-0.031192,0.051314,0.001642
31,900.00,2.000,-11.890,8.7445,3.4132,52.2437,0.0550,1.9486,0.6908,0.0000,21.9351,0.0000,21.6989,0.0000,0.0000,1.4055,0.0225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-124.534,-102.894,18.446,2.562,10.291,-0.680656,0.942260,0.683569,0.033831,-0.030751,0.050122,0.001626
