Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
18,1030.00,2.000,-9.771,0.4289,4.7224,0.0000,11.5117,3.8945,44.3741,0.0000,36.1412,0.0000,4.0784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.440,-2.301,0.874,0.091,0.396,0.000000,-0.136901,0.603878,0.219909,0.313114
19,1020.00,2.000,-9.919,0.9026,4.7302,0.0000,11.4156,3.8906,44.4837,0.0000,36.2807,0.0000,3.9294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.198,-4.830,1.830,0.191,0.832,0.000000,-0.129102,0.606100,0.212128,0.310874
20,1010.00,2.000,-10.069,1.2995,4.7377,0.0000,11.3309,3.8832,44.5795,0.0000,36.4183,0.0000,3.7880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.306,-6.939,2.624,0.274,1.196,0.000000,-0.121771,0.608109,0.204734,0.308927
21,1000.00,2.000,-10.221,1.6332,4.7449,0.0000,11.2545,3.8725,44.6668,0.0000,36.5531,0.0000,3.6531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.884,-8.702,3.284,0.344,1.501,0.000000,-0.114833,0.609984,0.197661,0.307187
22,990.00,2.000,-10.376,1.9140,4.7520,0.0000,11.1836,3.8589,44.7496,0.0000,36.6844,0.0000,3.5235,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.018,-10.177,3.833,0.403,1.756,0.000000,-0.108231,0.611785,0.190858,0.305587
23,980.00,2.000,-10.534,2.1495,4.7590,0.0000,11.1162,3.8426,44.8314,0.0000,36.8113,0.0000,3.3985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-16.778,-11.407,4.286,0.452,1.970,0.000000,-0.101920,0.613562,0.184285,0.304073
24,970.00,2.000,-10.694,2.3458,4.7658,0.0000,11.0506,3.8237,44.9150,0.0000,36.9333,0.0000,3.2774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.214,-12.424,4.657,0.492,2.146,0.000000,-0.095863,0.615356,0.177910,0.302597
25,960.00,2.000,-10.857,2.5075,4.7725,0.0000,10.9852,3.8025,45.0027,0.0000,37.0497,0.0000,3.1599,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-19.368,-13.255,4.957,0.525,2.291,0.000000,-0.090030,0.617202,0.171708,0.301120
26,950.00,2.000,-11.022,2.6383,4.7791,0.0000,10.9187,3.7791,45.0968,0.0000,37.1601,0.0000,3.0454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-20.271,-13.920,5.192,0.552,2.407,0.000000,-0.084398,0.619133,0.165658,0.299607
27,940.00,2.000,-11.190,2.7411,4.7857,0.0000,10.8498,3.7538,45.1992,0.0000,37.2636,0.0000,2.9336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-20.950,-14.435,5.371,0.573,2.498,0.000000,-0.078945,0.621178,0.159743,0.298024
28,930.00,2.000,-11.361,2.8180,4.7923,0.0000,10.7775,3.7266,45.3117,0.0000,37.3598,0.0000,2.8244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21.425,-14.812,5.497,0.588,2.565,0.000000,-0.073654,0.623363,0.153951,0.296340
29,920.00,2.000,-11.534,2.9216,4.7992,0.0000,10.8379,3.6014,45.2856,0.0000,37.5556,0.0000,2.7195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22.087,-15.318,5.673,0.609,2.655,0.000000,-0.070733,0.623874,0.148440,0.298419
30,910.00,2.000,-11.711,3.0261,4.8060,0.0000,10.9629,3.4356,45.1852,0.0000,37.7971,0.0000,2.6192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22.746,-15.827,5.848,0.630,2.745,0.000000,-0.068942,0.623438,0.143185,0.302320
31,900.00,2.000,-11.890,3.1077,4.8126,0.0000,11.0834,3.2790,45.0846,0.0000,38.0305,0.0000,2.5225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-23.229,-16.216,5.978,0.646,2.815,0.000000,-0.067136,0.622954,0.138097,0.306086
